page,text,images,details
1,,['images/page_1_image_1.jpeg'],"{'page': 1, 'text': '', 'text_available': False, 'image_count': 1}"
2,,['images/page_2_image_1.jpeg'],"{'page': 2, 'text': '', 'text_available': False, 'image_count': 1}"
3,,['images/page_3_image_1.jpeg'],"{'page': 3, 'text': '', 'text_available': False, 'image_count': 1}"
4,,['images/page_4_image_1.jpeg'],"{'page': 4, 'text': '', 'text_available': False, 'image_count': 1}"
5,,['images/page_5_image_1.jpeg'],"{'page': 5, 'text': '', 'text_available': False, 'image_count': 1}"
6,,['images/page_6_image_1.jpeg'],"{'page': 6, 'text': '', 'text_available': False, 'image_count': 1}"
7,,['images/page_7_image_1.jpeg'],"{'page': 7, 'text': '', 'text_available': False, 'image_count': 1}"
8,,['images/page_8_image_1.jpeg'],"{'page': 8, 'text': '', 'text_available': False, 'image_count': 1}"
9,,['images/page_9_image_1.jpeg'],"{'page': 9, 'text': '', 'text_available': False, 'image_count': 1}"
10,,['images/page_10_image_1.jpeg'],"{'page': 10, 'text': '', 'text_available': False, 'image_count': 1}"
11,,['images/page_11_image_1.jpeg'],"{'page': 11, 'text': '', 'text_available': False, 'image_count': 1}"
12,,['images/page_12_image_1.jpeg'],"{'page': 12, 'text': '', 'text_available': False, 'image_count': 1}"
13,,['images/page_13_image_1.jpeg'],"{'page': 13, 'text': '', 'text_available': False, 'image_count': 1}"
14,,['images/page_14_image_1.jpeg'],"{'page': 14, 'text': '', 'text_available': False, 'image_count': 1}"
15,,['images/page_15_image_1.jpeg'],"{'page': 15, 'text': '', 'text_available': False, 'image_count': 1}"
16,,['images/page_16_image_1.jpeg'],"{'page': 16, 'text': '', 'text_available': False, 'image_count': 1}"
17,,['images/page_17_image_1.jpeg'],"{'page': 17, 'text': '', 'text_available': False, 'image_count': 1}"
18,,['images/page_18_image_1.jpeg'],"{'page': 18, 'text': '', 'text_available': False, 'image_count': 1}"
19,,['images/page_19_image_1.jpeg'],"{'page': 19, 'text': '', 'text_available': False, 'image_count': 1}"
20,,['images/page_20_image_1.jpeg'],"{'page': 20, 'text': '', 'text_available': False, 'image_count': 1}"
21,,['images/page_21_image_1.jpeg'],"{'page': 21, 'text': '', 'text_available': False, 'image_count': 1}"
22,,['images/page_22_image_1.jpeg'],"{'page': 22, 'text': '', 'text_available': False, 'image_count': 1}"
23,,['images/page_23_image_1.jpeg'],"{'page': 23, 'text': '', 'text_available': False, 'image_count': 1}"
24,,['images/page_24_image_1.jpeg'],"{'page': 24, 'text': '', 'text_available': False, 'image_count': 1}"
25,,['images/page_25_image_1.jpeg'],"{'page': 25, 'text': '', 'text_available': False, 'image_count': 1}"
26,,['images/page_26_image_1.jpeg'],"{'page': 26, 'text': '', 'text_available': False, 'image_count': 1}"
27,,['images/page_27_image_1.jpeg'],"{'page': 27, 'text': '', 'text_available': False, 'image_count': 1}"
28,,['images/page_28_image_1.jpeg'],"{'page': 28, 'text': '', 'text_available': False, 'image_count': 1}"
29,,['images/page_29_image_1.jpeg'],"{'page': 29, 'text': '', 'text_available': False, 'image_count': 1}"
30,,['images/page_30_image_1.jpeg'],"{'page': 30, 'text': '', 'text_available': False, 'image_count': 1}"
31,,['images/page_31_image_1.jpeg'],"{'page': 31, 'text': '', 'text_available': False, 'image_count': 1}"
32,,['images/page_32_image_1.jpeg'],"{'page': 32, 'text': '', 'text_available': False, 'image_count': 1}"
33,,['images/page_33_image_1.jpeg'],"{'page': 33, 'text': '', 'text_available': False, 'image_count': 1}"
34,,['images/page_34_image_1.jpeg'],"{'page': 34, 'text': '', 'text_available': False, 'image_count': 1}"
35,,['images/page_35_image_1.jpeg'],"{'page': 35, 'text': '', 'text_available': False, 'image_count': 1}"
36,,['images/page_36_image_1.jpeg'],"{'page': 36, 'text': '', 'text_available': False, 'image_count': 1}"
37,,['images/page_37_image_1.jpeg'],"{'page': 37, 'text': '', 'text_available': False, 'image_count': 1}"
38,,['images/page_38_image_1.jpeg'],"{'page': 38, 'text': '', 'text_available': False, 'image_count': 1}"
39,,['images/page_39_image_1.jpeg'],"{'page': 39, 'text': '', 'text_available': False, 'image_count': 1}"
40,,['images/page_40_image_1.jpeg'],"{'page': 40, 'text': '', 'text_available': False, 'image_count': 1}"
41,,['images/page_41_image_1.jpeg'],"{'page': 41, 'text': '', 'text_available': False, 'image_count': 1}"
42,,['images/page_42_image_1.jpeg'],"{'page': 42, 'text': '', 'text_available': False, 'image_count': 1}"
43,,['images/page_43_image_1.jpeg'],"{'page': 43, 'text': '', 'text_available': False, 'image_count': 1}"
44,,['images/page_44_image_1.jpeg'],"{'page': 44, 'text': '', 'text_available': False, 'image_count': 1}"
45,,['images/page_45_image_1.jpeg'],"{'page': 45, 'text': '', 'text_available': False, 'image_count': 1}"
46,,['images/page_46_image_1.jpeg'],"{'page': 46, 'text': '', 'text_available': False, 'image_count': 1}"
47,,['images/page_47_image_1.jpeg'],"{'page': 47, 'text': '', 'text_available': False, 'image_count': 1}"
48,,['images/page_48_image_1.jpeg'],"{'page': 48, 'text': '', 'text_available': False, 'image_count': 1}"
49,,['images/page_49_image_1.jpeg'],"{'page': 49, 'text': '', 'text_available': False, 'image_count': 1}"
50,,['images/page_50_image_1.jpeg'],"{'page': 50, 'text': '', 'text_available': False, 'image_count': 1}"
51,,['images/page_51_image_1.jpeg'],"{'page': 51, 'text': '', 'text_available': False, 'image_count': 1}"
52,,['images/page_52_image_1.jpeg'],"{'page': 52, 'text': '', 'text_available': False, 'image_count': 1}"
53,,['images/page_53_image_1.jpeg'],"{'page': 53, 'text': '', 'text_available': False, 'image_count': 1}"
54,,['images/page_54_image_1.jpeg'],"{'page': 54, 'text': '', 'text_available': False, 'image_count': 1}"
55,,['images/page_55_image_1.jpeg'],"{'page': 55, 'text': '', 'text_available': False, 'image_count': 1}"
56,,['images/page_56_image_1.jpeg'],"{'page': 56, 'text': '', 'text_available': False, 'image_count': 1}"
57,,['images/page_57_image_1.jpeg'],"{'page': 57, 'text': '', 'text_available': False, 'image_count': 1}"
58,,['images/page_58_image_1.jpeg'],"{'page': 58, 'text': '', 'text_available': False, 'image_count': 1}"
59,,['images/page_59_image_1.jpeg'],"{'page': 59, 'text': '', 'text_available': False, 'image_count': 1}"
60,,['images/page_60_image_1.jpeg'],"{'page': 60, 'text': '', 'text_available': False, 'image_count': 1}"
61,,['images/page_61_image_1.jpeg'],"{'page': 61, 'text': '', 'text_available': False, 'image_count': 1}"
62,,['images/page_62_image_1.jpeg'],"{'page': 62, 'text': '', 'text_available': False, 'image_count': 1}"
63,,['images/page_63_image_1.jpeg'],"{'page': 63, 'text': '', 'text_available': False, 'image_count': 1}"
64,,['images/page_64_image_1.jpeg'],"{'page': 64, 'text': '', 'text_available': False, 'image_count': 1}"
65,,['images/page_65_image_1.jpeg'],"{'page': 65, 'text': '', 'text_available': False, 'image_count': 1}"
66,,['images/page_66_image_1.jpeg'],"{'page': 66, 'text': '', 'text_available': False, 'image_count': 1}"
67,,['images/page_67_image_1.jpeg'],"{'page': 67, 'text': '', 'text_available': False, 'image_count': 1}"
68,,['images/page_68_image_1.jpeg'],"{'page': 68, 'text': '', 'text_available': False, 'image_count': 1}"
69,,['images/page_69_image_1.jpeg'],"{'page': 69, 'text': '', 'text_available': False, 'image_count': 1}"
70,,['images/page_70_image_1.jpeg'],"{'page': 70, 'text': '', 'text_available': False, 'image_count': 1}"
71,,['images/page_71_image_1.jpeg'],"{'page': 71, 'text': '', 'text_available': False, 'image_count': 1}"
